,shopname,description,web,adress,district,neighbourhood,location,type,timetable,photo,product_list,phone
153,Vida Meva,"Aquest comerç porta ja més de 10 anys al barri fomentant el consum responsable. Seguint la filosofia de la botiga, treballen amb fruita i verdura directament de pagesos d'horta ecològica, de temporada i de proximitat escurçant els circuits de comercialització en la mesura del possible. Tenen un ampli ventall de productes a granel i alguns productes ecològics empaquetats. A més, també s'hi poden trobar ampolles d’aigua retornables de vidre.<br />
Incentiven la utilització de materials reutilitzables però també ofereixen bosses de paper reciclat. L'oferta és aproximadament un 90% de productes ecològics i la resta són petits artesans de proximitat. Tenen una secció que es diu “El racó dels convidats” segons temporada aposten per petits productors amb propostes sostenibles, per exemple en aquesta secció hi podem trobar la marca “imperfect”.<br />
Organitzen sortides per conèixer els productors que els proveeixen els productes.<br />
 ",https://vidameva.com/,"Carrer Ramon Turró, 201",Sant Martí,El Poblenou,"('41,40045850', '2,20339790')",restaurant,,,,
323,Bodega El Mallorquí,"Establiment on es poden trobar vi, licors i altres begudes a granel i embotellades, algunes ecològiques. Cervesa artesana",,"Carrer de Verdi, 61",Gràcia,Vila de Gràcia,"('41,40461780', '2,15601690')",bakery,,,,
385,The Tea World,"The Tea World neix el setembre de 2011, com a negoci familiar enfocat al món del te i el cafè.<br />
Mitjançant la nostra botiga i experiència, volem crear un punt de referència per a amants de te a granel de la millor qualitat i cafè de la seva millor producció.<br />
 <br />
Disposem de més de 145 referències de Te, Infusions i Rooibos a granel, procedents directament de les millors zones de producció a nivell mundial. Els nostres Cafès procedeixen de les més importants zones de producció, Amèrica del Sud i Àfrica.<br />
 <br />
A The Tea World treballem per aconseguir la millor qualitat i varietat dels nostres productes.<br />
 <br />
A més, disposem d'una àmplia gamma d'accessoris i complements per a l'ús i gaudi del Te i el Cafè.<br />
 <br />
<br />
Et donem la benvinguda a la nostra botiga virtual!",https://www.theteaworld.es/,"Carrer Marina, 271",Eixample,Sagrada Família,"('41,40508280', '2,17348830')",local food,,,,
418,La Botiga Natural,"Alimentació i herbodietètica ECO. Fruita, verdura i nous a granel. El producte és de proximitat en la mesura del possible, tenen algun producte de comerç just i ofereixen bosses compostables.",https://labotiganatural.com/index.php?,"Carrer Rosselló, 441",Eixample,Sagrada Família,"('41,40575950', '2,17366950')",supermarket,,,,
656,Espai Bici,Espai dedicat a la bicicleta com a mitjà de transport. Venda i taller de reparació de bicicletes.,http://www.espaibici.com,"Carrer Bruc, 63",Eixample,Dreta de l'Eixample,"('41,39368290', '2,17021380')",supermarket,,,,
657,PanAmà - La tradició del pa,"Forn de pa artesà fet a mà, elaborat amb massa mare i fermentació lenta de 12 hores.<br />
Utilitzen 4 tipus de farina ecològica i de proximitat (sègol, civada, integral i de pedra).<br />
Fan entrega en bicicleta a residències i restaurants.",,"Casp, 39",Eixample,Dreta de l'Eixample,"('41,39174820', '2,17370311')",beverages,,,,
658,Gram Biològic,"Botiga d'alimentació, cosmètica i complements ecològics.<br />
Vins, fruites i verdures de proximitat i ecològiques.<br />
Assessorament.",,"Carrer de València, 305",Eixample,Dreta de l'Eixample,"('41,39620710', '2,16770569')",vegan food,,,,
659,Crearte Styling,"Perruqueria i estètica amb productes ecològics certificats, tints lliures de plom i altres tòxics. Maquillatge natural, esmalt ecològic...<br />
<br />
L’ús de productes amb compostos estrictament naturals, tècniques de treball de consum mínim i una cura detallada dels residus, va valdre a Crearte el premi “Barcelona la millor Botiga del Món” a la millor iniciativa empresarial que atorga l’Ajuntament de Barcelona. Tots els productes són alemanys «Bioestetique».",http://www.creartestyling.com/,"Carrer de Girona, 134",Eixample,Dreta de l'Eixample,"('41,39800190', '2,16710190')",supermarket,,,,
660,Columpiu,Botiga de mobles de segona mà amb encant.,https://columpiu.wordpress.com/,"Carrer de Bailèn, 147",Eixample,Dreta de l'Eixample,"('41,39965168', '2,16658989')",restaurant,,,,
661,Cosmètica Natural Elna,Botiga de cosmètica natural.,https://cosmeticaelna.wordpress.com,"St. Pere Més Baix, 14",Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera","('41,38663698', '2,17675010')",bakery,,,,
